dataset	caller	fold.id	training.error	optimal.param	test.error
289	H3K36me3_TDH_other	macs.broad.default	1	36.8055555555556	1.30103	41.0714285714286
290	H3K36me3_TDH_other	macs.broad.default	2	43.4210526315789	1.30103	20.8333333333333
291	H3K36me3_TDH_other	macs.broad.default	3	38.1944444444444	1.30103	37.5
292	H3K36me3_TDH_other	macs.broad.default	4	33.75	1.30103	55
293	H3K4me3_PGP_immune	macs.broad.default	1	22.7833894500561	1.30103	21.7915590008613
294	H3K4me3_PGP_immune	macs.broad.default	2	22.8106611284181	1.30103	21.4814814814815
295	H3K4me3_PGP_immune	macs.broad.default	3	22.9766803840878	1.30103	20.9150326797386
296	H3K4me3_PGP_immune	macs.broad.default	4	21.4285714285714	1.30103	26.4197530864198
297	H3K4me3_TDH_immune	macs.broad.default	1	16.3035584604212	1.30103	18.3006535947712
298	H3K4me3_TDH_immune	macs.broad.default	2	19.017094017094	1.30103	9.60648148148148
299	H3K4me3_TDH_immune	macs.broad.default	3	16.971916971917	1.30103	16.4609053497942
300	H3K4me3_TDH_immune	macs.broad.default	4	15.0483817150484	1.30103	24.5925925925926
301	H3K4me3_TDH_other	macs.broad.default	1	17.6404494382022	1.30103	22.9166666666667
302	H3K4me3_TDH_other	macs.broad.default	2	19.7142857142857	1.30103	18.75
303	H3K4me3_TDH_other	macs.broad.default	3	19.0825688073394	1.30103	21.0714285714286
304	H3K4me3_TDH_other	macs.broad.default	4	21.2037037037037	1.30103	13.1034482758621
305	H3K4me3_XJ_immune	macs.broad.default	1	29.3372319688109	1.30103	25.9259259259259
306	H3K4me3_XJ_immune	macs.broad.default	2	31.3888888888889	1.30103	17.8451178451178
